timestamp,university,value
2026-07-14 16:03:37,Celal Bayar University,399
2026-07-14 16:03:37,Beykent University,360
2026-07-14 16:03:37,Bilecik University,140
2026-07-14 16:03:37,Istanbul Bilgi University,351
2026-07-14 16:03:37,Bilkent University,192
2026-07-14 16:03:37,Boğaziçi University,345
2026-07-14 16:03:37,Cag University,96
2026-07-14 16:03:37,Cankaya University,216
2026-07-14 16:03:40,Adnan Menderes University,157
2026-07-14 16:03:40,Ahi Evran University,146
2026-07-14 16:03:40,Akdeniz University,141
2026-07-14 16:03:40,Anadolu University,138
2026-07-14 16:03:40,Ankara University,162
2026-07-14 16:03:40,Istanbul Arel University,348
2026-07-14 16:03:40,Atatürk University,340
2026-07-14 16:03:40,University of Kyrenia,157
2026-07-14 16:03:40,Atilim University,375
2026-07-14 16:03:40,Bahcesehir University,157
2026-07-14 16:03:40,Balikesir University,260
2026-07-14 16:03:40,Baskent University,372
2026-07-14 16:03:40,Celal Bayar University,399
2026-07-14 16:03:40,Beykent University,365
2026-07-14 16:03:40,Bilecik University,143
2026-07-14 16:03:40,Istanbul Bilgi University,351
2026-07-14 16:03:40,Bilkent University,194
2026-07-14 16:03:40,Boğaziçi University,348
2026-07-14 16:03:40,Cag University,97
2026-07-14 16:03:40,Cankaya University,217
2026-07-14 16:09:08,Adnan Menderes University,161
2026-07-14 16:09:08,Ahi Evran University,146
2026-07-14 16:09:08,Akdeniz University,145
2026-07-14 16:09:08,Anadolu University,140
2026-07-14 16:09:08,Ankara University,162
2026-07-14 16:09:08,Istanbul Arel University,351
2026-07-14 16:09:08,Atatürk University,345
2026-07-14 16:09:08,University of Kyrenia,159
2026-07-14 16:09:08,Atilim University,380
2026-07-14 16:09:08,Bahcesehir University,161
2026-07-14 16:09:08,Balikesir University,261
2026-07-14 16:09:08,Baskent University,376
2026-07-14 16:09:08,Celal Bayar University,401
2026-07-14 16:09:08,Beykent University,365
2026-07-14 16:09:08,Bilecik University,148
2026-07-14 16:09:08,Istanbul Bilgi University,356
2026-07-14 16:09:08,Bilkent University,198
2026-07-14 16:09:08,Boğaziçi University,349
2026-07-14 16:09:08,Cag University,99
2026-07-14 16:09:08,Cankaya University,220
2026-07-14 16:12:08,Adnan Menderes University,165
2026-07-14 16:12:08,Ahi Evran University,151
2026-07-14 16:12:08,Akdeniz University,149
2026-07-14 16:12:08,Anadolu University,145
2026-07-14 16:12:08,Ankara University,167
2026-07-14 16:12:08,Istanbul Arel University,351
2026-07-14 16:12:08,Atatürk University,347
2026-07-14 16:12:08,University of Kyrenia,162
2026-07-14 16:12:08,Atilim University,385
2026-07-14 16:12:08,Bahcesehir University,162
2026-07-14 16:12:08,Balikesir University,263
2026-07-14 16:12:08,Baskent University,376
2026-07-14 16:12:08,Celal Bayar University,404
2026-07-14 16:12:08,Beykent University,365
2026-07-14 16:12:08,Bilecik University,152
2026-07-14 16:12:08,Istanbul Bilgi University,360
2026-07-14 16:12:08,Bilkent University,203
2026-07-14 16:12:08,Boğaziçi University,349
2026-07-14 16:12:08,Cag University,102
2026-07-14 16:12:08,Cankaya University,224
2026-07-14 13:31:20,Adnan Menderes University,165
2026-07-14 13:31:20,Ahi Evran University,154
2026-07-14 13:31:20,Akdeniz University,152
2026-07-14 13:31:20,Anadolu University,145
2026-07-14 13:31:20,Ankara University,169
2026-07-14 13:31:20,Istanbul Arel University,353
2026-07-14 13:31:20,Atatürk University,349
2026-07-14 13:31:20,University of Kyrenia,162
2026-07-14 13:31:20,Atilim University,388
2026-07-14 13:31:20,Bahcesehir University,167
2026-07-14 13:31:20,Balikesir University,265
2026-07-14 13:31:20,Baskent University,376
2026-07-14 13:31:20,Celal Bayar University,408
2026-07-14 13:31:20,Beykent University,369
2026-07-14 13:31:20,Bilecik University,156
2026-07-14 13:31:20,Istanbul Bilgi University,362
2026-07-14 13:31:20,Bilkent University,203
2026-07-14 13:31:20,Boğaziçi University,352
2026-07-14 13:31:20,Cag University,104
2026-07-14 13:31:20,Cankaya University,225
2026-07-14 17:55:12,Adnan Menderes University,166
2026-07-14 17:55:12,Ahi Evran University,156
2026-07-14 17:55:12,Akdeniz University,152
2026-07-14 17:55:12,Anadolu University,149
2026-07-14 17:55:12,Ankara University,174
2026-07-14 17:55:12,Istanbul Arel University,356
2026-07-14 17:55:12,Atatürk University,352
2026-07-14 17:55:12,University of Kyrenia,164
2026-07-14 17:55:12,Atilim University,388
2026-07-14 17:55:12,Bahcesehir University,167
2026-07-14 17:55:12,Balikesir University,266
2026-07-14 17:55:12,Baskent University,380
2026-07-14 17:55:12,Celal Bayar University,411
2026-07-14 17:55:12,Beykent University,371
2026-07-14 17:55:12,Bilecik University,161
2026-07-14 17:55:12,Istanbul Bilgi University,362
2026-07-14 17:55:12,Bilkent University,207
2026-07-14 17:55:12,Boğaziçi University,354
2026-07-14 17:55:12,Cag University,106
2026-07-14 17:55:12,Cankaya University,228
2026-07-15 07:04:40,Adnan Menderes University,167
2026-07-15 07:04:40,Ahi Evran University,161
2026-07-15 07:04:40,Akdeniz University,154
2026-07-15 07:04:40,Anadolu University,151
2026-07-15 07:04:40,Ankara University,175
2026-07-15 07:04:40,Istanbul Arel University,360
2026-07-15 07:04:40,Atatürk University,354
2026-07-15 07:04:40,University of Kyrenia,166
2026-07-15 07:04:40,Atilim University,391
2026-07-15 07:04:40,Bahcesehir University,167
2026-07-15 07:04:40,Balikesir University,266
2026-07-15 07:04:40,Baskent University,381
2026-07-15 07:04:40,Celal Bayar University,416
2026-07-15 07:04:40,Beykent University,373
2026-07-15 07:04:40,Bilecik University,165
2026-07-15 07:04:40,Istanbul Bilgi University,364
2026-07-15 07:04:40,Bilkent University,212
2026-07-15 07:04:40,Boğaziçi University,355
2026-07-15 07:04:40,Cag University,108
2026-07-15 07:04:40,Cankaya University,232
2026-07-15 12:08:58,Adnan Menderes University,167
2026-07-15 12:08:58,Ahi Evran University,164
2026-07-15 12:08:58,Akdeniz University,158
2026-07-15 12:08:58,Anadolu University,154
2026-07-15 12:08:58,Ankara University,178
2026-07-15 12:08:58,Istanbul Arel University,365
2026-07-15 12:08:58,Atatürk University,355
2026-07-15 12:08:58,University of Kyrenia,170
2026-07-15 12:08:58,Atilim University,395
2026-07-15 12:08:58,Bahcesehir University,167
2026-07-15 12:08:58,Balikesir University,266
2026-07-15 12:08:58,Baskent University,386
2026-07-15 12:08:58,Celal Bayar University,416
2026-07-15 12:08:58,Beykent University,375
2026-07-15 12:08:58,Bilecik University,165
2026-07-15 12:08:58,Istanbul Bilgi University,365
2026-07-15 12:08:58,Bilkent University,215
2026-07-15 12:08:58,Boğaziçi University,359
2026-07-15 12:08:58,Cag University,108
2026-07-15 12:08:58,Cankaya University,235
2026-07-15 18:00:15,Adnan Menderes University,170
2026-07-15 18:00:15,Ahi Evran University,165
2026-07-15 18:00:15,Akdeniz University,159
2026-07-15 18:00:15,Anadolu University,156
2026-07-15 18:00:15,Ankara University,180
2026-07-15 18:00:15,Istanbul Arel University,367
2026-07-15 18:00:15,Atatürk University,360
2026-07-15 18:00:15,University of Kyrenia,174
2026-07-15 18:00:15,Atilim University,399
2026-07-15 18:00:15,Bahcesehir University,172
2026-07-15 18:00:15,Balikesir University,266
2026-07-15 18:00:15,Baskent University,390
2026-07-15 18:00:15,Celal Bayar University,419
2026-07-15 18:00:15,Beykent University,380
2026-07-15 18:00:15,Bilecik University,170
2026-07-15 18:00:15,Istanbul Bilgi University,370
2026-07-15 18:00:15,Bilkent University,219
2026-07-15 18:00:15,Boğaziçi University,359
2026-07-15 18:00:15,Cag University,112
2026-07-15 18:00:15,Cankaya University,235
2026-07-16 07:13:44,Adnan Menderes University,173
2026-07-16 07:13:44,Ahi Evran University,165
2026-07-16 07:13:44,Akdeniz University,159
2026-07-16 07:13:44,Anadolu University,161
2026-07-16 07:13:44,Ankara University,182
2026-07-16 07:13:44,Istanbul Arel University,371
2026-07-16 07:13:44,Atatürk University,362
2026-07-16 07:13:44,University of Kyrenia,177
2026-07-16 07:13:44,Atilim University,403
2026-07-16 07:13:44,Bahcesehir University,173
2026-07-16 07:13:44,Balikesir University,266
2026-07-16 07:13:44,Baskent University,390
2026-07-16 07:13:44,Celal Bayar University,424
2026-07-16 07:13:44,Beykent University,383
2026-07-16 07:13:44,Bilecik University,170
2026-07-16 07:13:44,Istanbul Bilgi University,372
2026-07-16 07:13:44,Bilkent University,219
2026-07-16 07:13:44,Boğaziçi University,360
2026-07-16 07:13:44,Cag University,115
2026-07-16 07:13:44,Cankaya University,237
2026-07-16 12:12:57,Adnan Menderes University,175
2026-07-16 12:12:57,Ahi Evran University,170
2026-07-16 12:12:57,Akdeniz University,161
2026-07-16 12:12:57,Anadolu University,165
2026-07-16 12:12:57,Ankara University,185
2026-07-16 12:12:57,Istanbul Arel University,372
2026-07-16 12:12:57,Atatürk University,363
2026-07-16 12:12:57,University of Kyrenia,177
2026-07-16 12:12:57,Atilim University,405
2026-07-16 12:12:57,Bahcesehir University,178
2026-07-16 12:12:57,Balikesir University,268
2026-07-16 12:12:57,Baskent University,390
2026-07-16 12:12:57,Celal Bayar University,426
2026-07-16 12:12:57,Beykent University,385
2026-07-16 12:12:57,Bilecik University,170
2026-07-16 12:12:57,Istanbul Bilgi University,372
2026-07-16 12:12:57,Bilkent University,220
2026-07-16 12:12:57,Boğaziçi University,361
2026-07-16 12:12:57,Cag University,117
2026-07-16 12:12:57,Cankaya University,239
2026-07-16 17:58:18,Adnan Menderes University,180
2026-07-16 17:58:18,Ahi Evran University,175
2026-07-16 17:58:18,Akdeniz University,166
2026-07-16 17:58:18,Anadolu University,167
2026-07-16 17:58:18,Ankara University,186
2026-07-16 17:58:18,Istanbul Arel University,376
2026-07-16 17:58:18,Atatürk University,367
2026-07-16 17:58:18,University of Kyrenia,179
2026-07-16 17:58:18,Atilim University,410
2026-07-16 17:58:18,Bahcesehir University,183
2026-07-16 17:58:18,Balikesir University,271
2026-07-16 17:58:18,Baskent University,394
2026-07-16 17:58:18,Celal Bayar University,426
2026-07-16 17:58:18,Beykent University,387
2026-07-16 17:58:18,Bilecik University,175
2026-07-16 17:58:18,Istanbul Bilgi University,372
2026-07-16 17:58:18,Bilkent University,224
2026-07-16 17:58:18,Boğaziçi University,362
2026-07-16 17:58:18,Cag University,122
2026-07-16 17:58:18,Cankaya University,242
2026-07-17 07:08:14,Adnan Menderes University,182
2026-07-17 07:08:14,Ahi Evran University,177
2026-07-17 07:08:14,Akdeniz University,166
2026-07-17 07:08:14,Anadolu University,172
2026-07-17 07:08:14,Ankara University,188
2026-07-17 07:08:14,Istanbul Arel University,377
2026-07-17 07:08:14,Atatürk University,367
2026-07-17 07:08:14,University of Kyrenia,182
2026-07-17 07:08:14,Atilim University,413
2026-07-17 07:08:14,Bahcesehir University,184
2026-07-17 07:08:14,Balikesir University,274
2026-07-17 07:08:14,Baskent University,399
2026-07-17 07:08:14,Celal Bayar University,427
2026-07-17 07:08:14,Beykent University,391
2026-07-17 07:08:14,Bilecik University,177
2026-07-17 07:08:14,Istanbul Bilgi University,373
2026-07-17 07:08:14,Bilkent University,225
2026-07-17 07:08:14,Boğaziçi University,363
2026-07-17 07:08:14,Cag University,127
2026-07-17 07:08:14,Cankaya University,246
2026-07-17 12:01:48,Adnan Menderes University,184
2026-07-17 12:01:48,Ahi Evran University,182
2026-07-17 12:01:48,Akdeniz University,171
2026-07-17 12:01:48,Anadolu University,172
2026-07-17 12:01:48,Ankara University,193
2026-07-17 12:01:48,Istanbul Arel University,382
2026-07-17 12:01:48,Atatürk University,369
2026-07-17 12:01:48,University of Kyrenia,182
2026-07-17 12:01:48,Atilim University,413
2026-07-17 12:01:48,Bahcesehir University,186
2026-07-17 12:01:48,Balikesir University,274
2026-07-17 12:01:48,Baskent University,401
2026-07-17 12:01:48,Celal Bayar University,428
2026-07-17 12:01:48,Beykent University,394
2026-07-17 12:01:48,Bilecik University,181
2026-07-17 12:01:48,Istanbul Bilgi University,375
2026-07-17 12:01:48,Bilkent University,228
2026-07-17 12:01:48,Boğaziçi University,363
2026-07-17 12:01:48,Cag University,132
2026-07-17 12:01:48,Cankaya University,249
2026-07-17 17:55:30,Adnan Menderes University,188
2026-07-17 17:55:30,Ahi Evran University,183
2026-07-17 17:55:30,Akdeniz University,173
2026-07-17 17:55:30,Anadolu University,177
2026-07-17 17:55:30,Ankara University,195
2026-07-17 17:55:30,Istanbul Arel University,384
2026-07-17 17:55:30,Atatürk University,374
2026-07-17 17:55:30,University of Kyrenia,187
2026-07-17 17:55:30,Atilim University,416
2026-07-17 17:55:30,Bahcesehir University,188
2026-07-17 17:55:30,Balikesir University,278
2026-07-17 17:55:30,Baskent University,401
2026-07-17 17:55:30,Celal Bayar University,433
2026-07-17 17:55:30,Beykent University,398
2026-07-17 17:55:30,Bilecik University,182
2026-07-17 17:55:30,Istanbul Bilgi University,379
2026-07-17 17:55:30,Bilkent University,229
2026-07-17 17:55:30,Boğaziçi University,364
2026-07-17 17:55:30,Cag University,132
2026-07-17 17:55:30,Cankaya University,251
2026-07-18 06:51:50,Adnan Menderes University,188
2026-07-18 06:51:50,Ahi Evran University,187
2026-07-18 06:51:50,Akdeniz University,175
2026-07-18 06:51:50,Anadolu University,179
2026-07-18 06:51:50,Ankara University,200
2026-07-18 06:51:50,Istanbul Arel University,389
2026-07-18 06:51:50,Atatürk University,374
2026-07-18 06:51:50,University of Kyrenia,191
2026-07-18 06:51:50,Atilim University,418
2026-07-18 06:51:50,Bahcesehir University,191
2026-07-18 06:51:50,Balikesir University,283
2026-07-18 06:51:50,Baskent University,401
2026-07-18 06:51:50,Celal Bayar University,438
2026-07-18 06:51:50,Beykent University,399
2026-07-18 06:51:50,Bilecik University,186
2026-07-18 06:51:50,Istanbul Bilgi University,381
2026-07-18 06:51:50,Bilkent University,229
2026-07-18 06:51:50,Boğaziçi University,367
2026-07-18 06:51:50,Cag University,134
2026-07-18 06:51:50,Cankaya University,251
2026-07-18 11:42:17,Adnan Menderes University,192
2026-07-18 11:42:17,Ahi Evran University,189
2026-07-18 11:42:17,Akdeniz University,178
2026-07-18 11:42:17,Anadolu University,179
2026-07-18 11:42:17,Ankara University,205
2026-07-18 11:42:17,Istanbul Arel University,393
2026-07-18 11:42:17,Atatürk University,377
2026-07-18 11:42:17,University of Kyrenia,195
2026-07-18 11:42:17,Atilim University,423
2026-07-18 11:42:17,Bahcesehir University,196
2026-07-18 11:42:17,Balikesir University,286
2026-07-18 11:42:17,Baskent University,406
2026-07-18 11:42:17,Celal Bayar University,438
2026-07-18 11:42:17,Beykent University,404
2026-07-18 11:42:17,Bilecik University,190
2026-07-18 11:42:17,Istanbul Bilgi University,386
2026-07-18 11:42:17,Bilkent University,234
2026-07-18 11:42:17,Boğaziçi University,368
2026-07-18 11:42:17,Cag University,137
2026-07-18 11:42:17,Cankaya University,253
2026-07-18 17:44:58,Adnan Menderes University,195
2026-07-18 17:44:58,Ahi Evran University,194
2026-07-18 17:44:58,Akdeniz University,181
2026-07-18 17:44:58,Anadolu University,182
2026-07-18 17:44:58,Ankara University,206
2026-07-18 17:44:58,Istanbul Arel University,394
2026-07-18 17:44:58,Atatürk University,380
2026-07-18 17:44:58,University of Kyrenia,195
2026-07-18 17:44:58,Atilim University,427
2026-07-18 17:44:58,Bahcesehir University,196
2026-07-18 17:44:58,Balikesir University,287
2026-07-18 17:44:58,Baskent University,407
2026-07-18 17:44:58,Celal Bayar University,440
2026-07-18 17:44:58,Beykent University,406
2026-07-18 17:44:58,Bilecik University,193
2026-07-18 17:44:58,Istanbul Bilgi University,389
2026-07-18 17:44:58,Bilkent University,237
2026-07-18 17:44:58,Boğaziçi University,370
2026-07-18 17:44:58,Cag University,138
2026-07-18 17:44:58,Cankaya University,253
2026-07-19 07:20:47,Adnan Menderes University,198
2026-07-19 07:20:47,Ahi Evran University,196
2026-07-19 07:20:47,Akdeniz University,184
2026-07-19 07:20:47,Anadolu University,186
2026-07-19 07:20:47,Ankara University,210
2026-07-19 07:20:47,Istanbul Arel University,397
2026-07-19 07:20:47,Atatürk University,380
2026-07-19 07:20:47,University of Kyrenia,196
2026-07-19 07:20:47,Atilim University,427
2026-07-19 07:20:47,Bahcesehir University,196
2026-07-19 07:20:47,Balikesir University,288
2026-07-19 07:20:47,Baskent University,412
2026-07-19 07:20:47,Celal Bayar University,444
2026-07-19 07:20:47,Beykent University,409
2026-07-19 07:20:47,Bilecik University,197
2026-07-19 07:20:47,Istanbul Bilgi University,393
2026-07-19 07:20:47,Bilkent University,240
2026-07-19 07:20:47,Boğaziçi University,370
2026-07-19 07:20:47,Cag University,138
2026-07-19 07:20:47,Cankaya University,255
2026-07-19 11:47:39,Adnan Menderes University,202
2026-07-19 11:47:39,Ahi Evran University,200
2026-07-19 11:47:39,Akdeniz University,184
2026-07-19 11:47:39,Anadolu University,187
2026-07-19 11:47:39,Ankara University,210
2026-07-19 11:47:39,Istanbul Arel University,400
2026-07-19 11:47:39,Atatürk University,382
2026-07-19 11:47:39,University of Kyrenia,196
2026-07-19 11:47:39,Atilim University,428
2026-07-19 11:47:39,Bahcesehir University,196
2026-07-19 11:47:39,Balikesir University,291
2026-07-19 11:47:39,Baskent University,417
2026-07-19 11:47:39,Celal Bayar University,448
2026-07-19 11:47:39,Beykent University,413
2026-07-19 11:47:39,Bilecik University,202
2026-07-19 11:47:39,Istanbul Bilgi University,395
2026-07-19 11:47:39,Bilkent University,242
2026-07-19 11:47:39,Boğaziçi University,372
2026-07-19 11:47:39,Cag University,142
2026-07-19 11:47:39,Cankaya University,257
2026-07-19 17:45:58,Adnan Menderes University,202
2026-07-19 17:45:58,Ahi Evran University,202
2026-07-19 17:45:58,Akdeniz University,184
2026-07-19 17:45:58,Anadolu University,188
2026-07-19 17:45:58,Ankara University,215
2026-07-19 17:45:58,Istanbul Arel University,405
2026-07-19 17:45:58,Atatürk University,386
2026-07-19 17:45:58,University of Kyrenia,201
2026-07-19 17:45:58,Atilim University,430
2026-07-19 17:45:58,Bahcesehir University,196
2026-07-19 17:45:58,Balikesir University,294
2026-07-19 17:45:58,Baskent University,421
2026-07-19 17:45:58,Celal Bayar University,449
2026-07-19 17:45:58,Beykent University,415
2026-07-19 17:45:58,Bilecik University,207
2026-07-19 17:45:58,Istanbul Bilgi University,398
2026-07-19 17:45:58,Bilkent University,245
2026-07-19 17:45:58,Boğaziçi University,373
2026-07-19 17:45:58,Cag University,146
2026-07-19 17:45:58,Cankaya University,257
2026-07-20 07:50:06,Adnan Menderes University,204
2026-07-20 07:50:06,Ahi Evran University,207
2026-07-20 07:50:06,Akdeniz University,189
2026-07-20 07:50:06,Anadolu University,192
2026-07-20 07:50:06,Ankara University,220
2026-07-20 07:50:06,Istanbul Arel University,405
2026-07-20 07:50:06,Atatürk University,390
2026-07-20 07:50:06,University of Kyrenia,202
2026-07-20 07:50:06,Atilim University,431
2026-07-20 07:50:06,Bahcesehir University,201
2026-07-20 07:50:06,Balikesir University,295
2026-07-20 07:50:06,Baskent University,426
2026-07-20 07:50:06,Celal Bayar University,454
2026-07-20 07:50:06,Beykent University,415
2026-07-20 07:50:06,Bilecik University,209
2026-07-20 07:50:06,Istanbul Bilgi University,401
2026-07-20 07:50:06,Bilkent University,248
2026-07-20 07:50:06,Boğaziçi University,377
2026-07-20 07:50:06,Cag University,147
2026-07-20 07:50:06,Cankaya University,259
